,name,company,year,fuel_type,kms_driven,Price
0,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,Petrol,45000,80000.0
1,Mahindra Jeep CL550 MDI,Mahindra,2006,Diesel,40,556000.0
2,Maruti Suzuki Alto 800 Vxi,Maruti,2018,Petrol,22000,230000.0
3,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,Petrol,28000,325000.0
4,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,Diesel,36000,575000.0
5,Ford EcoSport Titanium 1.5L TDCi,Ford,2015,Diesel,59000,556000.0
6,Ford Figo,Ford,2012,Diesel,41000,175000.0
7,Hyundai Eon,Hyundai,2013,Petrol,25000,190000.0
8,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,Diesel,24530,830000.0
9,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,Petrol,60000,250000.0
10,Skoda Fabia Classic 1.2 MPI,Skoda,2010,Petrol,60000,182000.0
11,Maruti Suzuki Stingray VXi,Maruti,2015,Petrol,30000,315000.0
12,Hyundai Elite i20 Magna 1.2,Hyundai,2014,Petrol,32000,415000.0
13,Mahindra Scorpio SLE BS IV,Mahindra,2015,Diesel,48660,320000.0
14,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,Petrol,45000,80000.0
15,Mahindra Jeep CL550 MDI,Mahindra,2006,Diesel,40,425000.0
16,Audi A8,Audi,2017,Petrol,4000,1000000.0
17,Audi Q7,Audi,2014,Diesel,16934,500000.0
18,Mahindra Scorpio S10,Mahindra,2016,Diesel,43000,350000.0
19,Maruti Suzuki Alto 800,Maruti,2014,Petrol,35550,160000.0
20,Mahindra Scorpio S10,Mahindra,2016,Diesel,43000,350000.0
21,Mahindra Scorpio S10,Mahindra,2016,Diesel,39522,310000.0
22,Maruti Suzuki Alto 800 Vxi,Maruti,2015,Petrol,39000,75000.0
23,Hyundai i20 Sportz 1.2,Hyundai,2012,Petrol,55000,100000.0
24,Hyundai i20 Sportz 1.2,Hyundai,2012,Petrol,55000,100000.0
25,Hyundai i20 Sportz 1.2,Hyundai,2012,Petrol,55000,100000.0
26,Maruti Suzuki Alto 800 Lx,Maruti,2017,Petrol,72000,190000.0
27,Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,Diesel,15975,290000.0
28,Maruti Suzuki Alto LX,Maruti,2008,Petrol,70000,95000.0
29,Mahindra Bolero DI,Mahindra,2017,Diesel,23452,180000.0
30,Maruti Suzuki Swift Dzire ZDi,Maruti,2014,Diesel,35522,385000.0
31,Mahindra Scorpio S10 4WD,Mahindra,2015,Diesel,48508,250000.0
32,Maruti Suzuki Swift Vdi BSIII,Maruti,2017,Petrol,15487,180000.0
33,Maruti Suzuki Wagon R VXi BS III,Maruti,2013,Petrol,39000,105000.0
34,Maruti Suzuki Wagon R VXi Minor,Maruti,2013,Petrol,39000,105000.0
